timestamp,Infrared to Red Signal Ratio
10/12/23 02:05:01,79
10/12/23 02:06:01,0
10/12/23 02:07:01,0
10/12/23 02:08:01,30
10/12/23 02:09:01,0
10/12/23 02:10:01,42
10/12/23 02:11:01,12
10/12/23 02:12:01,-3
10/12/23 02:13:01,8
10/12/23 02:14:03,0
10/12/23 02:15:03,-9
10/12/23 02:16:03,26
10/12/23 02:17:03,-8
10/12/23 02:18:03,0
10/12/23 02:19:28,0
10/12/23 02:20:28,0
10/12/23 02:21:28,0
10/12/23 02:22:28,0
10/12/23 02:23:28,0
10/12/23 02:24:28,0
10/12/23 02:25:28,0
10/12/23 02:26:28,0
10/12/23 02:27:28,0
10/12/23 02:28:28,0
10/12/23 02:29:29,0
10/12/23 02:30:29,0
10/12/23 02:31:29,-7
10/12/23 02:32:29,12
10/12/23 02:33:29,8
10/12/23 02:34:29,7
10/12/23 02:35:29,-4
10/12/23 02:36:29,61
10/12/23 02:37:29,1
10/12/23 02:38:29,0
10/12/23 02:39:29,43
10/12/23 02:40:29,3
10/12/23 02:41:29,14
10/12/23 02:42:29,-41
10/12/23 02:43:29,0
10/12/23 02:44:30,0
10/12/23 02:45:30,0
10/12/23 02:46:30,0
10/12/23 02:47:30,0
10/12/23 02:48:30,0
10/12/23 02:49:30,0
10/12/23 02:50:30,0
10/12/23 02:51:30,-9
10/12/23 02:52:30,26
10/12/23 02:53:30,16
10/12/23 02:54:30,14
10/12/23 02:55:30,-7
10/12/23 02:56:30,34
10/12/23 02:57:30,60
10/12/23 02:58:30,39
10/12/23 02:59:31,19
10/12/23 03:00:31,7
10/12/23 03:01:31,35
10/12/23 03:02:31,4
10/12/23 03:03:31,0
10/12/23 03:04:31,0
10/12/23 03:05:31,-15
10/12/23 03:06:31,-4
10/12/23 03:07:31,10
10/12/23 03:08:31,0
10/12/23 03:09:31,16
10/12/23 03:10:31,29
10/12/23 03:11:31,0
10/12/23 03:12:31,-7
10/12/23 03:13:31,0
10/12/23 03:14:33,0
10/12/23 03:15:33,-1
10/12/23 03:16:33,-60
10/12/23 03:17:33,-44
10/12/23 03:18:33,-34
10/12/23 03:19:33,-36
10/12/23 03:20:33,0
10/12/23 03:21:33,2
10/12/23 03:22:33,0
10/12/23 03:23:33,-5
10/12/23 03:24:33,-7
10/12/23 03:25:33,0
10/12/23 03:26:33,8
10/12/23 03:27:33,-4
10/12/23 03:28:33,0
10/12/23 03:29:35,0
10/12/23 03:30:35,4
10/12/23 03:31:35,0
10/12/23 03:32:35,-27
10/12/23 03:33:35,-5
10/12/23 03:34:35,2
10/12/23 03:35:35,-35
10/12/23 03:36:35,62
10/12/23 03:37:35,15
10/12/23 03:38:35,7
10/12/23 03:39:35,-20
10/12/23 03:40:35,0
10/12/23 03:41:35,-11
10/12/23 03:42:35,-4
10/12/23 03:43:35,4
10/12/23 03:44:37,-3
10/12/23 03:45:37,-13
