timestamp,bucket_values
2023-10-10T08:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.008, 0.011, 0.019, 0.049, 0.129, 0.197, 0.226, 0.186, 0.099, 0.044, 0.018, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-11T08:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.005, 0.008, 0.017, 0.031, 0.065, 0.131, 0.189, 0.202, 0.165, 0.107, 0.046, 0.019, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-12T08:16:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.008, 0.013, 0.032, 0.057, 0.114, 0.2, 0.235, 0.189, 0.091, 0.035, 0.012, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-13T08:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.005, 0.007, 0.009, 0.023, 0.051, 0.112, 0.173, 0.208, 0.218, 0.12, 0.047, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-14T10:32:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.013, 0.027, 0.019, 0.03, 0.098, 0.256, 0.284, 0.162, 0.068, 0.028, 0.009, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-15T08:58:00,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.002, 0.002, 0.002, 0.003, 0.009, 0.022, 0.035, 0.055, 0.108, 0.18, 0.23, 0.206, 0.092, 0.037, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-16T08:04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.012, 0.022, 0.03, 0.056, 0.121, 0.207, 0.223, 0.171, 0.087, 0.037, 0.017, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-17T07:55:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.012, 0.018, 0.02, 0.044, 0.119, 0.213, 0.228, 0.153, 0.098, 0.053, 0.021, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-18T07:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.005, 0.009, 0.018, 0.026, 0.044, 0.104, 0.185, 0.231, 0.209, 0.1, 0.04, 0.015, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-19T08:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.01, 0.017, 0.02, 0.02, 0.029, 0.071, 0.148, 0.19, 0.2, 0.159, 0.08, 0.032, 0.014, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
