timestamp,Infrared to Red Signal Ratio
10/15/23 01:06:00,0
10/15/23 01:07:00,0
10/15/23 01:08:00,0
10/15/23 01:09:02,-4
10/15/23 01:10:02,0
10/15/23 01:11:02,-61
10/15/23 01:12:02,0
10/15/23 01:13:02,0
10/15/23 01:14:02,0
10/15/23 01:15:02,0
10/15/23 01:16:02,0
10/15/23 01:17:02,0
10/15/23 01:18:02,0
10/15/23 01:19:02,0
10/15/23 01:20:02,0
10/15/23 01:21:02,22
10/15/23 01:22:02,2
10/15/23 01:23:02,30
10/15/23 01:24:03,-42
10/15/23 01:25:03,0
10/15/23 01:26:03,-1
10/15/23 01:27:03,0
10/15/23 01:28:03,0
10/15/23 01:29:03,-1
10/15/23 01:30:03,0
10/15/23 01:31:03,-13
10/15/23 01:32:03,10
10/15/23 01:33:03,0
10/15/23 01:34:03,0
10/15/23 01:35:03,-3
10/15/23 01:36:03,0
10/15/23 01:37:03,0
10/15/23 01:38:03,0
10/15/23 01:39:07,18
10/15/23 01:40:07,0
10/15/23 01:41:07,-7
10/15/23 01:42:07,-7
10/15/23 01:43:07,0
10/15/23 01:44:07,0
10/15/23 01:45:07,0
10/15/23 01:46:07,0
10/15/23 01:47:07,-22
10/15/23 01:48:07,0
10/15/23 01:49:07,0
10/15/23 01:50:07,2
10/15/23 01:51:07,0
10/15/23 01:52:07,0
10/15/23 01:53:07,0
10/15/23 01:54:07,-8
10/15/23 01:55:10,-8
10/15/23 01:56:10,-14
10/15/23 01:57:10,-6
10/15/23 01:58:10,2
10/15/23 01:59:10,-13
10/15/23 02:00:10,-19
10/15/23 02:01:10,0
10/15/23 02:02:10,55
10/15/23 02:09:00,-15
10/15/23 02:10:02,-5
10/15/23 02:11:02,0
10/15/23 02:12:02,-4
10/15/23 02:13:02,0
10/15/23 02:14:02,0
10/15/23 02:15:02,-30
10/15/23 02:16:02,0
10/15/23 02:17:02,-21
10/15/23 02:18:02,9
10/15/23 02:19:02,14
10/15/23 02:20:02,17
10/15/23 02:21:02,-14
10/15/23 02:22:02,1
10/15/23 02:23:02,3
10/15/23 02:24:02,-12
10/15/23 02:25:04,12
10/15/23 02:26:29,-42
10/15/23 02:27:29,-20
10/15/23 02:28:29,2
10/15/23 02:29:29,23
10/15/23 02:30:29,-23
10/15/23 02:31:29,17
10/15/23 02:32:29,8
10/15/23 02:33:29,0
10/15/23 02:34:29,-6
10/15/23 02:35:29,0
10/15/23 02:36:29,1
10/15/23 02:37:29,-40
10/15/23 02:38:29,0
10/15/23 02:39:32,0
10/15/23 02:40:32,28
10/15/23 02:41:32,-1
10/15/23 02:42:32,22
10/15/23 02:43:32,34
10/15/23 02:44:32,0
10/15/23 02:45:32,0
10/15/23 02:46:32,-9
10/15/23 02:47:32,3
10/15/23 02:48:32,0
10/15/23 02:49:32,13
10/15/23 02:50:32,12
10/15/23 02:51:32,0
10/15/23 02:52:32,-2
10/15/23 02:53:32,-14
10/15/23 02:54:35,0
10/15/23 02:55:35,0
10/15/23 02:56:35,-27
10/15/23 02:57:35,-11
10/15/23 02:58:35,11
10/15/23 02:59:35,3
10/15/23 03:00:35,0
10/15/23 03:01:35,-17
10/15/23 03:02:35,0
10/15/23 03:03:35,5
10/15/23 03:04:35,0
10/15/23 03:05:35,19
10/15/23 03:06:35,5
10/15/23 03:07:35,31
10/15/23 03:08:35,18
10/15/23 03:09:35,-17
10/15/23 03:10:38,0
10/15/23 03:11:38,-1
10/15/23 03:12:38,-15
10/15/23 03:13:38,3
10/15/23 03:14:38,5
