timestamp,bucket_values
2023-11-01T08:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.005, 0.011, 0.019, 0.029, 0.059, 0.139, 0.184, 0.221, 0.165, 0.093, 0.039, 0.018, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-02T08:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.001, 0.003, 0.005, 0.008, 0.017, 0.03, 0.062, 0.133, 0.172, 0.205, 0.188, 0.097, 0.046, 0.016, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-03T07:50:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.004, 0.006, 0.013, 0.04, 0.084, 0.164, 0.227, 0.221, 0.149, 0.057, 0.018, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-04T09:53:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.01, 0.023, 0.084, 0.192, 0.266, 0.208, 0.11, 0.056, 0.026, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-05T08:06:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.004, 0.009, 0.025, 0.054, 0.138, 0.23, 0.229, 0.148, 0.084, 0.043, 0.018, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-07T08:00:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.008, 0.014, 0.02, 0.035, 0.072, 0.13, 0.164, 0.193, 0.176, 0.103, 0.043, 0.024, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-08T07:37:00,"[0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.003, 0.003, 0.004, 0.009, 0.019, 0.035, 0.05, 0.081, 0.12, 0.138, 0.144, 0.149, 0.116, 0.076, 0.03, 0.011, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-09T07:59:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.009, 0.011, 0.023, 0.048, 0.097, 0.153, 0.185, 0.204, 0.134, 0.07, 0.034, 0.014, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-10T08:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.008, 0.01, 0.024, 0.061, 0.113, 0.16, 0.172, 0.185, 0.142, 0.073, 0.03, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-11T09:17:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.002, 0.003, 0.004, 0.006, 0.015, 0.03, 0.051, 0.098, 0.151, 0.174, 0.19, 0.145, 0.075, 0.033, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-12T09:11:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.005, 0.012, 0.04, 0.082, 0.14, 0.205, 0.214, 0.155, 0.087, 0.038, 0.011, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-13T08:00:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.003, 0.004, 0.006, 0.012, 0.023, 0.047, 0.084, 0.152, 0.193, 0.191, 0.144, 0.08, 0.035, 0.012, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-14T05:59:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.006, 0.015, 0.02, 0.031, 0.048, 0.091, 0.162, 0.204, 0.204, 0.13, 0.049, 0.019, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-15T07:43:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.004, 0.007, 0.009, 0.015, 0.032, 0.067, 0.115, 0.164, 0.201, 0.19, 0.117, 0.044, 0.018, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-16T05:59:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.004, 0.012, 0.022, 0.027, 0.037, 0.097, 0.209, 0.246, 0.192, 0.083, 0.038, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-19T09:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.002, 0.003, 0.009, 0.03, 0.066, 0.142, 0.2, 0.22, 0.181, 0.095, 0.037, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-20T06:39:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.003, 0.003, 0.007, 0.012, 0.019, 0.028, 0.057, 0.096, 0.156, 0.165, 0.168, 0.128, 0.077, 0.043, 0.02, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-11-22T06:41:00,"[0.0, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.003, 0.004, 0.006, 0.016, 0.033, 0.066, 0.13, 0.183, 0.194, 0.195, 0.113, 0.036, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-24T07:14:00,"[0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.003, 0.004, 0.006, 0.012, 0.027, 0.078, 0.135, 0.175, 0.173, 0.159, 0.11, 0.062, 0.026, 0.011, 0.004, 0.002, 0.0, 0.0, 0.0, 0.001]"
