timestamp,average_value,lower_bound,upper_bound
2023-10-10T00:00:00Z,96.1,92.6,100.0
2023-10-11T00:00:00Z,96.6,95.4,99.2
2023-10-12T00:00:00Z,98.0,95.0,100.0
2023-10-13T00:00:00Z,96.1,91.4,97.5
2023-10-14T00:00:00Z,95.5,94.7,96.4
2023-10-15T00:00:00Z,97.9,95.1,100.0
2023-10-16T00:00:00Z,96.0,93.9,98.4
2023-10-17T00:00:00Z,96.4,93.2,99.5
2023-10-18T00:00:00Z,98.1,97.7,98.9
2023-10-19T00:00:00Z,97.4,94.2,100.0
2023-10-20T00:00:00Z,96.3,95.8,96.9
2023-10-21T00:00:00Z,94.2,92.1,95.9
2023-10-22T00:00:00Z,96.4,94.7,97.6
2023-10-23T00:00:00Z,96.1,93.9,98.1
2023-10-24T00:00:00Z,96.0,94.2,97.4
2023-10-25T00:00:00Z,97.0,93.0,100.0
2023-10-26T00:00:00Z,95.8,94.4,97.2
2023-10-27T00:00:00Z,96.6,93.5,99.2
2023-10-28T00:00:00Z,96.9,95.3,99.2
2023-10-30T00:00:00Z,96.6,95.2,97.9
2023-10-31T00:00:00Z,96.3,94.3,98.8
2023-11-01T00:00:00Z,97.7,96.2,100.0
2023-11-02T00:00:00Z,96.4,93.8,98.7
2023-11-03T00:00:00Z,96.6,95.4,98.2
2023-11-04T00:00:00Z,95.6,92.8,97.9
2023-11-05T00:00:00Z,97.0,95.4,98.5
2023-11-07T00:00:00Z,96.1,94.7,97.2
2023-11-08T00:00:00Z,97.7,95.6,99.8
2023-11-09T00:00:00Z,95.7,94.0,96.9
2023-11-10T00:00:00Z,96.6,95.7,98.4
2023-11-11T00:00:00Z,97.0,95.5,98.3
2023-11-12T00:00:00Z,96.6,95.2,98.0
2023-11-13T00:00:00Z,95.7,91.9,98.7
2023-11-14T00:00:00Z,96.6,95.4,98.0
2023-11-15T00:00:00Z,96.6,95.1,97.7
2023-11-16T00:00:00Z,97.6,94.8,100.0
2023-11-19T00:00:00Z,96.6,94.0,98.3
2023-11-20T00:00:00Z,95.9,92.4,97.8
2023-11-22T00:00:00Z,95.4,91.2,98.8
2023-11-24T00:00:00Z,96.0,94.4,97.6
2023-11-25T00:00:00Z,97.1,95.3,98.7
2023-11-28T00:00:00Z,96.8,93.1,99.8
2023-11-29T00:00:00Z,96.8,94.4,98.6
2023-11-30T00:00:00Z,94.3,93.4,94.3
2023-12-01T00:00:00Z,97.0,95.6,98.3
